Variable,Midwest-Northeast,Midwest-South,Midwest-West,Northeast-South,Northeast-West,South-West,Midwest-Total,Northeast-Total,South-Total,West-Total
Difficulties Dressing,0.13473248,-0.01938694,0.37011744,0.11629952,0.14719854,0.41557061,0.49405651,0.12431296,0.43728425,0.53372606
Difficulties Going Outside,0.3426659,0.28877372,0.48355465,0.3701852,0.41217128,0.43164883,0.59106496,0.4814907,0.52663706,0.77078562
Difficulties Hearing,0.18753959,0.41465309,0.21183053,0.36245807,0.31674368,0.64470098,0.60452867,0.29893247,0.6529339,0.60684265
Difficulties Seeing,0.39262719,0.30704717,0.41944931,0.23233249,0.23205694,0.46315822,0.68809503,0.25994128,0.41540643,0.6651837
Difficulties with Stairs,0.39268621,0.35875897,0.52043965,0.35520421,0.39075423,0.53501714,0.70386738,0.44335097,0.58629936,0.77008911
Employed,0.68156014,0.74132842,0.84622273,0.78113189,0.580065,0.71290821,0.97723252,0.95864981,0.95204933,0.96687917
Hate Crime towards Disabled,-0.07259301,0.12398934,0.03297354,0.0423586,-0.0340535,0.02775475,0.27118792,0.03340565,0.29937056,0.28525472
Hate Crime towards Ethnicity,-0.01440319,0.18987021,0.23435073,0.06773777,-0.06143581,0.21006875,0.35981797,0.25110255,0.27060107,0.30727864
Hate Crime towards Gender,0.0526628,0.11280743,0.13816878,-0.05474665,0.04569436,0.11529369,0.5075594,0.20036635,0.12609431,0.31197508
Hate Crime towards Race,0.1358998,0.22227173,0.17080661,-0.02836363,0.19535489,0.20979499,0.45859629,0.17243146,0.33925636,0.35204629
Hate Crime towards Religion,-0.09080721,-0.01555257,0.11291045,-0.00327568,0.05665377,0.02781406,0.2714727,0.22964097,0.22218937,0.3229853
Hate Crime towards Sexuality,0.0045678,0.07853223,-0.02884725,-0.0668999,0.05226527,-0.02154722,0.2125688,0.02007013,0.16555622,0.27088289
High Income,0.98328193,0.97396731,0.9840734,0.98112989,0.98895688,0.98527899,0.31188217,-0.23766966,-0.01459898,0.39331918
Low Income,0.70136268,0.76333193,0.8084675,0.75817361,0.73238272,0.82861802,0.93845619,0.9063106,0.93062182,0.85862455
Middle Income,0.39500185,0.60655132,0.68605278,0.64859677,0.27070027,0.51580613,0.89289334,0.87254824,0.8799236,0.85727636
Worked in the past 2 Weeks,0.36732493,0.41838604,0.48425129,0.31919224,0.38389394,0.32465001,0.71377683,0.66977568,0.61991289,0.66041357
Worked in the past 6 Months,0.47421336,0.54071623,0.58443729,0.49916862,0.44786707,0.4530323,0.76734604,0.71170241,0.70631999,0.67287885
Worked in the past Week,0.67855677,0.73367837,0.83383838,0.78951743,0.57187575,0.6972239,0.97371323,0.95539744,0.94711057,0.96721915
Federal Employee,0.17445622,0.06917816,0.06019274,0.04070419,0.08785622,0.06458367,0.19754441,0.13048792,0.23813621,0.23081595
Non-Profit Employee,0.19902546,0.37158922,0.42718961,0.25450248,0.30460842,0.39765972,0.34801409,0.01445892,0.10756478,0.24666029
Private Employee,0.34051625,0.36385159,0.54242327,0.31983059,0.35420091,0.3626736,0.73117977,0.54500297,0.6428382,0.73800239
Self-employed,0.17675367,0.18149433,0.17364703,0.13716366,-0.07027531,0.18424542,0.41763623,0.25307832,0.28177046,0.3211476
State Employee,0.1513481,0.23405964,0.36521201,0.09302417,0.04018084,0.27604823,0.29011517,0.25320012,0.45136893,0.52745533
Lived at Address 10-15 Years,0.35678918,0.43802551,0.38127666,0.52266254,0.31487061,0.39379251,0.71731036,0.7510725,0.74557999,0.72628283
Lived at Address 15+ Years,0.47669878,0.59162442,0.60623055,0.42367185,0.3668493,0.60474991,0.78256249,0.74794518,0.59333783,0.72545657
Lived at Address 5-10 Years,0.40148512,0.49857373,0.54484113,0.50670576,0.33835971,0.48459609,0.81557168,0.7866564,0.7779354,0.81050105
Lived at Address 0-5 Years,0.58795678,0.68255719,0.76514783,0.69251461,0.50487545,0.66176366,0.94362097,0.89002302,0.92583225,0.93358325
Living on a Reservation,0.07359921,0.06857967,0.06911916,-0.06764695,-0.00912043,0.14773584,0.23411677,0.06378407,0.193087,0.33280126
Living at a Dormitory,0.25105663,0.38074678,0.20148891,0.26985655,0.01731828,0.13022156,0.45988417,0.57124577,0.3684105,0.19028077
Living at a House,0.67645984,0.76408876,0.83007067,0.75685849,0.60322112,0.75098439,0.99760772,0.99645604,0.98989645,0.99705917
Living at a NonPermanent Hotel,0.0913524,-0.041978,-0.06193706,0.02098665,-0.02367833,0.00119007,0.03771769,0.1577248,-0.0407813,0.11828486
Living at a Permanent Hotel,-0.02135224,-0.03426109,-0.04401219,-0.03166908,-0.04068246,0.04713449,0.041875,0.10558406,-0.00880389,-0.04495396
Living at a Permanent Mobile Home,0.41381915,0.63162604,0.55634965,0.53548667,0.45287221,0.71797488,0.54581391,0.4796866,0.60755179,0.50788049
Works in Agriculture,-0.01636735,0.08959657,-0.00536126,0.09572787,0.0067389,0.03603796,0.16417051,0.16128863,0.18753413,0.16342351
Works in Construction,0.10202133,0.14826954,0.11257416,0.10623543,0.07343044,0.07332274,0.43804323,0.27855724,0.29327832,0.30877435
Works in Entertainment,0.09636767,0.27794772,0.2990377,0.11382871,0.1449526,0.14492058,0.42696576,0.24854952,0.32073356,0.29626206
Works in Finance,0.06432913,0.09161246,0.12150475,0.06544735,0.09833151,0.07537879,0.32345848,0.08294968,0.2218125,0.19720246
Works in Government,0.06906771,0.03926532,0.14679284,0.07114121,0.01933781,0.06826799,0.24820664,0.16859782,0.2722201,0.45435611
Works in Manufacturing,0.02838824,0.17092521,0.16700796,0.02411148,0.08492087,-0.04256518,0.41230377,0.20676773,0.3572807,0.28278039
Works in Personal Services,0.00126968,0.1268837,0.11553983,-0.07359689,-0.01854142,-0.00128713,0.34003211,0.10250373,0.16408282,0.24787818
Works in Professional Services,0.28099642,0.35671748,0.44376565,0.31320999,0.25486152,0.36715956,0.50736528,0.32396379,0.53377912,0.64204002
Works in Repair Services,0.10059578,0.08357644,0.18553584,0.05920471,0.16236514,0.18034594,0.21930373,0.18309529,0.15197195,0.17815006
Works in Retail Trade,0.17073245,0.20572149,0.30022459,0.11329856,0.06276906,0.19090538,0.48092991,0.2375924,0.34916153,0.48091322
Works in Transportation,0.05017579,0.17327257,0.24084415,0.09481195,0.12698941,0.1925891,0.30666406,0.24052407,0.37230165,0.34080652
Works in Wholesale Trade,-0.01325182,0.02573749,-0.04270456,-0.11174937,0.10478339,0.07093512,0.17867122,0.04605073,0.17577471,0.17239288
Pregnant,0.12312164,0.0727979,0.1126572,0.09590897,-0.02178612,0.17930499,0.29308125,0.1592357,0.06559532,0.14207627
Age 10-19,0.29279416,0.15079449,0.25777637,0.18736887,0.17130712,0.23466157,0.57180039,0.50113883,0.4626722,0.38685153
Age 20-29,0.51122804,0.56821807,0.65352265,0.53179628,0.44010957,0.59409967,0.86267435,0.75988157,0.82638499,0.86696991
Age 30-39,0.65566647,0.60848789,0.76729233,0.66941423,0.62766422,0.59670583,0.89963324,0.85283331,0.85129574,0.89708686
Age 40-49,0.68838745,0.7644192,0.72287758,0.7828824,0.59972214,0.71940715,0.79942895,0.83566999,0.80300537,0.79985243
Age 50-59,0.28434232,0.42542809,0.54674462,0.44530709,0.28579327,0.49337193,0.71165227,0.77161405,0.68137688,0.66856758
Age 60-69,0.48280548,0.66380807,0.62106378,0.47091479,0.49012849,0.66491714,0.48002706,0.43512082,0.33353942,0.55507226
Age 70+,0.34797252,0.49710526,0.50029375,0.3581506,0.34699956,0.56443111,0.5685027,0.42968798,0.46540824,0.62938958
Hispanic,0.19686569,0.11276744,0.26765936,0.19508079,0.34265525,0.41399975,0.31921578,0.47659613,0.59317379,0.8018377
AAPI,0.00742371,0.06370619,0.13421633,-0.08437291,0.10861507,0.14630164,0.11367431,-0.01497934,0.18059851,0.28154707
Native,0.08654766,0.2002284,0.21965718,0.17980428,0.08851628,0.40691405,0.44149986,0.13839871,0.28336865,0.44850771
Asian,0.34454953,0.30309532,0.42614333,0.14661931,0.24896088,0.36661002,0.4589265,0.20630879,0.44618621,0.60438157
Black,0.42920931,0.58135997,0.40362492,0.40481662,0.29450512,0.34846609,0.70835239,0.50835834,0.70287706,0.45545622
Multiracial,0.37588655,0.41778957,0.55103438,0.23507683,0.35942112,0.37530584,0.4746325,0.12377348,0.37005105,0.48811504
White,0.54361461,0.69677513,0.79495253,0.64134285,0.44969957,0.67805489,0.91820318,0.84637532,0.89324331,0.89514469
Associates Degree,0.66803378,0.7875219,0.81613483,0.69593253,0.65495028,0.77899517,0.09626363,-0.29652681,-0.07997548,0.07138169
Bachelors Degree,0.74085586,0.83535953,0.86597755,0.76659409,0.71878473,0.79961015,0.1247837,-0.1942166,0.00893139,0.10688207
High School Degree,0.69206231,0.78941036,0.83782142,0.76231512,0.71455451,0.8151731,0.26474856,0.01653073,0.14408844,0.22230478
Less than High School,0.70998325,0.75133707,0.75224942,0.79666117,0.74937071,0.81890511,0.68220284,0.77741988,0.78342637,0.66513364
Masters Degree,0.73232507,0.79100836,0.83705566,0.70185418,0.71703424,0.80211463,0.04198103,-0.34908398,-0.10669143,0.08996576
Doctorate Degree,0.48574747,0.51173597,0.59870996,0.40138244,0.43051838,0.60545791,0.03748153,-0.22434469,-0.13369792,-0.02544775
Professional Degree,0.51502617,0.56684722,0.54976616,0.58145051,0.548183,0.60937847,-0.01084955,-0.26664881,-0.17781639,-0.03953619
Divorced,0.43441609,0.57939556,0.64269839,0.46524039,0.36120103,0.53090262,0.84709226,0.73721308,0.78244061,0.86061246
Married,0.69133286,0.77477715,0.77104262,0.78932969,0.56183135,0.71181132,0.91389257,0.91628073,0.91373082,0.94445112
Single,0.49202245,0.57828031,0.69532489,0.51281703,0.49170352,0.62443434,0.80380031,0.76151667,0.71266863,0.85969652
Separated,0.21979583,0.25056635,0.31250942,0.37614478,0.31443641,0.41364498,0.48790183,0.51103755,0.60814523,0.60463193
Widowed,0.33547802,0.43285867,0.40624558,0.21437457,0.29959892,0.38681234,0.67406638,0.567452,0.55592352,0.64283998
College Student,0.39182498,0.48313228,0.43848938,0.37486694,0.3046945,0.44496514,0.68055869,0.66223493,0.61384668,0.69820412
Not a Student,0.67484789,0.77079927,0.84092214,0.78081332,0.5983473,0.74777366,0.99469674,0.98913373,0.9885826,0.9932563
K-12 Student,0.22701449,0.23361587,0.38724233,0.30286103,0.19974423,0.2298801,-0.01829158,-0.200669,-0.1301164,-0.00512448
Trade Student,0.08691922,0.02494844,0.09692745,0.05499006,0.11562269,0.01811903,0.23630314,0.3395678,0.21762075,0.24444417
Vocational Student,0.03656168,0.12917768,0.02512161,0.08467282,-0.0065303,-0.05050234,0.31462933,0.17492276,0.27993313,0.26340277
Female,0.5262817,0.63660862,0.73786857,0.54938332,0.46709262,0.65264895,0.91717643,0.90426744,0.87054194,0.95655915
Male,0.69655624,0.7689144,0.8131629,0.7869431,0.61923092,0.7394879,0.94695411,0.92560389,0.93562877,0.95984455
Not Heterosexual Identifying,0.32141078,0.11924053,0.21967872,-0.02916135,0.09063624,0.18272136,0.43872837,0.29187189,0.4695539,0.32314213
Works in City,0.62548256,0.63109419,0.79296813,0.67480477,0.57586413,0.63051193,0.94896982,0.8674597,0.9011556,0.93989613
Works in Rural Location,0.34612337,0.43712212,0.40691962,0.36320489,0.37375055,0.46062353,0.70061175,0.68640861,0.67738314,0.61443129
Works in Suburb,0.57805649,0.64803757,0.59701136,0.68844535,0.41649458,0.53483475,0.80649274,0.84041741,0.76754351,0.7844614
